RDA element,RDA recording method,Alignment,M21 Authority encoding
cartographer person of work,identifier,aligns with,500 1* $0
casting director person,identifier,aligns with,500 1* $0
censor person,identifier,aligns with,500 1* $0
chief executive,identifier,aligns with,500 1* $0
choral conductor person,identifier,aligns with,500 1* $0
choreographer person,identifier,aligns with,500 1* $0
civil defendant person,identifier,aligns with,500 1* $0
colleague,identifier,aligns with,500 1* $0
colourist person,identifier,aligns with,500 1* $0
commentator person,identifier,aligns with,500 1* $0
commissioning person,identifier,aligns with,500 1* $0
compiler person,identifier,aligns with,500 1* $0
conductor person,identifier,aligns with,500 1* $0
consultant person,identifier,aligns with,500 1* $0
contributor person to amalgamation,identifier,aligns with,500 1* $0
contributor person to performance,identifier,aligns with,500 1* $0
costume designer person,identifier,aligns with,500 1* $0
court reporter person,identifier,aligns with,500 1* $0
coworker,identifier,aligns with,500 1* $0
creator person of expression,identifier,aligns with,500 1* $0
criminal defendant person,identifier,aligns with,500 1* $0
dancer person,identifier,aligns with,500 1* $0
dedicatee person of work,identifier,aligns with,500 1* $0
dedicator person,identifier,aligns with,500 1* $0
defendant person,identifier,aligns with,500 1* $0
degree supervisor,identifier,aligns with,500 1* $0
description of person,identifier,aligns with,500 1* $0
designer person,identifier,aligns with,500 1* $0
director person,identifier,aligns with,500 1* $0
director person of photography,identifier,aligns with,500 1* $0
DJ person,identifier,aligns with,500 1* $0
draftsman person,identifier,aligns with,500 1* $0
dubbing director person,identifier,aligns with,500 1* $0
editor person,identifier,aligns with,500 1* $0
editor person of moving image work,identifier,aligns with,500 1* $0
editorial director person,identifier,aligns with,500 1* $0
employee,identifier,aligns with,500 1* $0
enrolled student,identifier,aligns with,500 1* $0
fellow student,identifier,aligns with,500 1* $0
film director person,identifier,aligns with,500 1* $0
film producer person,identifier,aligns with,500 1* $0
filmmaker person,identifier,aligns with,500 1* $0
founding person of corporate body,identifier,aligns with,500 1* $0
friend,identifier,aligns with,500 1* $0
graduate,identifier,aligns with,500 1* $0
honouree person of work,identifier,aligns with,500 1* $0
host person,identifier,aligns with,500 1* $0
instructor person,identifier,aligns with,500 1* $0
instrumental conductor person,identifier,aligns with,500 1* $0
instrumentalist person,identifier,aligns with,500 1* $0
interviewee person of expression,identifier,aligns with,500 1* $0
interviewee person of work,identifier,aligns with,500 1* $0
interviewer person of expression,identifier,aligns with,500 1* $0
interviewer person of work,identifier,aligns with,500 1* $0
inventor person,identifier,aligns with,500 1* $0
issuing person,identifier,aligns with,500 1* $0
judge,identifier,aligns with,500 1* $0
landscape architect person,identifier,aligns with,500 1* $0
letterer person,identifier,aligns with,500 1* $0
librettist person,identifier,aligns with,500 1* $0
lighting designer person,identifier,aligns with,500 1* $0
lyricist person,identifier,aligns with,500 1* $0
makeup artist person,identifier,aligns with,500 1* $0
medium,identifier,aligns with,500 1* $0
minute taker person,identifier,aligns with,500 1* $0
mixing engineer person,identifier,aligns with,500 1* $0
moderator person,identifier,aligns with,500 1* $0
music programmer person,identifier,aligns with,500 1* $0
musical director person,identifier,aligns with,500 1* $0
narrator person,identifier,aligns with,500 1* $0
officer,identifier,aligns with,500 1* $0
onscreen participant person,identifier,aligns with,500 1* $0
onscreen presenter person,identifier,aligns with,500 1* $0
organizer person,identifier,aligns with,500 1* $0
panelist person,identifier,aligns with,500 1* $0
partner,identifier,aligns with,500 1* $0
performer person,identifier,aligns with,500 1* $0
person member of corporate body,identifier,aligns with,500 1* $0
person member of family,identifier,aligns with,500 1* $0
photographer person of work,identifier,aligns with,500 1* $0
plaintiff person,identifier,aligns with,500 1* $0
praeses,identifier,aligns with,500 1* $0
presenter person,identifier,aligns with,500 1* $0
producer person,identifier,aligns with,500 1* $0
production designer person,identifier,aligns with,500 1* $0
programmer person,identifier,aligns with,500 1* $0
puppeteer person,identifier,aligns with,500 1* $0
radio director person,identifier,aligns with,500 1* $0
radio producer person,identifier,aligns with,500 1* $0
rapporteur person,identifier,aligns with,500 1* $0
real identity of person,identifier,aligns with,500 1* $0
recording engineer person,identifier,aligns with,500 1* $0
recordist person,identifier,aligns with,500 1* $0
related person of agent,identifier,aligns with,500 1* $0
related person of collective agent,identifier,aligns with,500 1* $0
related person of corporate body,identifier,aligns with,500 1* $0
related person of expression,identifier,aligns with,500 1* $0
related person of family,identifier,aligns with,500 1* $0
related person of person,identifier,aligns with,500 1* $0
related person of place,identifier,aligns with,500 1* $0
related person of work,identifier,aligns with,500 1* $0
remix artist person,identifier,aligns with,500 1* $0
researcher person,identifier,aligns with,500 1* $0
respondent,identifier,aligns with,500 1* $0
restorationist person of expression,identifier,aligns with,500 1* $0
reviser person,identifier,aligns with,500 1* $0
screenwriter person,identifier,aligns with,500 1* $0
sculptor person,identifier,aligns with,500 1* $0
singer person,identifier,aligns with,500 1* $0
software developer person,identifier,aligns with,500 1* $0
sound designer person,identifier,aligns with,500 1* $0
speaker person,identifier,aligns with,500 1* $0
special effects provider person,identifier,aligns with,500 1* $0
sponsoring person of corporate body,identifier,aligns with,500 1* $0
sponsoring person of work,identifier,aligns with,500 1* $0
stage director person,identifier,aligns with,500 1* $0
storyteller person,identifier,aligns with,500 1* $0
student,identifier,aligns with,500 1* $0
subject person,identifier,aligns with,500 1* $0
teacher,identifier,aligns with,500 1* $0
television director person,identifier,aligns with,500 1* $0
television producer person,identifier,aligns with,500 1* $0
transcriber person,identifier,aligns with,500 1* $0
translator person,identifier,aligns with,500 1* $0
trustee,identifier,aligns with,500 1* $0
visual effects provider person,identifier,aligns with,500 1* $0
voice actor person,identifier,aligns with,500 1* $0
abridger person,IRI,aligns with,500 1* $1
actor person,IRI,aligns with,500 1* $1
addressee person,IRI,aligns with,500 1* $1
aggregator person,IRI,aligns with,500 1* $1
alternate identity of person,IRI,aligns with,500 1* $1
animator person,IRI,aligns with,500 1* $1
appellant person,IRI,aligns with,500 1* $1
appellee person,IRI,aligns with,500 1* $1
architect person,IRI,aligns with,500 1* $1
arranger person of music,IRI,aligns with,500 1* $1
art director person,IRI,aligns with,500 1* $1
artist person,IRI,aligns with,500 1* $1
assistant,IRI,aligns with,500 1* $1
assistant to,IRI,aligns with,500 1* $1
audio engineer person,IRI,aligns with,500 1* $1
audio producer person,IRI,aligns with,500 1* $1
author person,IRI,aligns with,500 1* $1
book artist person,IRI,aligns with,500 1* $1
calligrapher person,IRI,aligns with,500 1* $1
cartographer person of work,IRI,aligns with,500 1* $1
casting director person,IRI,aligns with,500 1* $1
censor person,IRI,aligns with,500 1* $1
chief executive,IRI,aligns with,500 1* $1
choral conductor person,IRI,aligns with,500 1* $1
choreographer person,IRI,aligns with,500 1* $1
civil defendant person,IRI,aligns with,500 1* $1
colleague,IRI,aligns with,500 1* $1
colourist person,IRI,aligns with,500 1* $1
commentator person,IRI,aligns with,500 1* $1
commissioning person,IRI,aligns with,500 1* $1
compiler person,IRI,aligns with,500 1* $1
conductor person,IRI,aligns with,500 1* $1
consultant person,IRI,aligns with,500 1* $1
contributor person to amalgamation,IRI,aligns with,500 1* $1
contributor person to performance,IRI,aligns with,500 1* $1
costume designer person,IRI,aligns with,500 1* $1
court reporter person,IRI,aligns with,500 1* $1
coworker,IRI,aligns with,500 1* $1
creator person of expression,IRI,aligns with,500 1* $1
criminal defendant person,IRI,aligns with,500 1* $1
dancer person,IRI,aligns with,500 1* $1
dedicatee person of work,IRI,aligns with,500 1* $1
dedicator person,IRI,aligns with,500 1* $1
defendant person,IRI,aligns with,500 1* $1
degree supervisor,IRI,aligns with,500 1* $1
description of person,IRI,aligns with,500 1* $1
designer person,IRI,aligns with,500 1* $1
director person,IRI,aligns with,500 1* $1
director person of photography,IRI,aligns with,500 1* $1
DJ person,IRI,aligns with,500 1* $1
draftsman person,IRI,aligns with,500 1* $1
dubbing director person,IRI,aligns with,500 1* $1
editor person,IRI,aligns with,500 1* $1
editor person of moving image work,IRI,aligns with,500 1* $1
editorial director person,IRI,aligns with,500 1* $1
employee,IRI,aligns with,500 1* $1
enrolled student,IRI,aligns with,500 1* $1
fellow student,IRI,aligns with,500 1* $1
film director person,IRI,aligns with,500 1* $1
film producer person,IRI,aligns with,500 1* $1
filmmaker person,IRI,aligns with,500 1* $1
founding person of corporate body,IRI,aligns with,500 1* $1
friend,IRI,aligns with,500 1* $1
graduate,IRI,aligns with,500 1* $1
honouree person of work,IRI,aligns with,500 1* $1
host person,IRI,aligns with,500 1* $1
instructor person,IRI,aligns with,500 1* $1
instrumental conductor person,IRI,aligns with,500 1* $1
instrumentalist person,IRI,aligns with,500 1* $1
interviewee person of expression,IRI,aligns with,500 1* $1
interviewee person of work,IRI,aligns with,500 1* $1
interviewer person of expression,IRI,aligns with,500 1* $1
interviewer person of work,IRI,aligns with,500 1* $1
inventor person,IRI,aligns with,500 1* $1
issuing person,IRI,aligns with,500 1* $1
judge,IRI,aligns with,500 1* $1
landscape architect person,IRI,aligns with,500 1* $1
letterer person,IRI,aligns with,500 1* $1
librettist person,IRI,aligns with,500 1* $1
lighting designer person,IRI,aligns with,500 1* $1
lyricist person,IRI,aligns with,500 1* $1
makeup artist person,IRI,aligns with,500 1* $1
medium,IRI,aligns with,500 1* $1
minute taker person,IRI,aligns with,500 1* $1
mixing engineer person,IRI,aligns with,500 1* $1
moderator person,IRI,aligns with,500 1* $1
music programmer person,IRI,aligns with,500 1* $1
musical director person,IRI,aligns with,500 1* $1
narrator person,IRI,aligns with,500 1* $1
officer,IRI,aligns with,500 1* $1
onscreen participant person,IRI,aligns with,500 1* $1
onscreen presenter person,IRI,aligns with,500 1* $1
organizer person,IRI,aligns with,500 1* $1
panelist person,IRI,aligns with,500 1* $1
partner,IRI,aligns with,500 1* $1
performer person,IRI,aligns with,500 1* $1
person member of corporate body,IRI,aligns with,500 1* $1
person member of family,IRI,aligns with,500 1* $1
photographer person of work,IRI,aligns with,500 1* $1
