*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
has supplementary content (Deprecated),rdae:supplementaryContent.en,Relates an expression to an indication of content that updates or complements the primary content of an expression. (Deprecated),"Supplementary content includes an index, a bibliography, an appendix, etc. (Deprecated)",,,,supplementary content (Deprecated),An indication of content that updates or complements the primary content of an expression. (Deprecated),rdae:P20206,property,rdac:C10006,,,,Deprecated,,,
has illustrative content (Deprecated),rdae:illustrativeContent.en,Relates an expression to a presence of one or more still images that accompany the primary content of an expression. (Deprecated),Tables containing only words or numerical data are excluded.,,,,illustrative content (Deprecated),A presence of image content that accompanies the primary content of an expression. (Deprecated),rdae:P20207,property,rdac:C10006,,,,Deprecated,,,
has accessibility content (Deprecated),rdae:accessibilityContent.en,Relates an expression to an indication of content that provides alternative sensory modes to perceive the primary content of an expression. (Deprecated),"Accessibility content includes accessible labels, audio description, captioning, image description, sign language, and subtitles. Accessibility content does not include subtitles in a language different from the spoken content.",,,,accessibility content (Deprecated),An indication of content that provides alternative sensory modes to perceive the primary content of an expression. (Deprecated),rdae:P20208,property,rdac:C10006,,,,Deprecated,,,rdae:P20007
has format of notated music,rdae:formatOfNotatedMusic.en,Relates an expression to a musical or physical layout of the content of an expression that is presented in the form of musical notation.,,,,,format of notated music,A musical or physical layout of the content of an expression that is presented in the form of musical notation.,rdae:P20209,property,rdac:C10006,,,,Published,7.2,4,
has details of cartographic content,rdae:detailsOfCartographicContent.en,"Relates an expression to an indication of mathematical data and other features of the cartographic content of an expression not recorded in statements of scale, projection, and coordinates.",,other details of cartographic content,,,details of cartographic content,"An indication of mathematical data and other features of the cartographic content of an expression not recorded in statements of scale, projection, and coordinates.",rdae:P20210,property,rdac:C10006,,,,Published,7.27,6,
is revised as,rdae:revisedAs.en,"Relates an expression to an expression that is an update, correction, or expansion of another expression of the same work.",,,,,revised as,"An expression that is an update, correction, or expansion of another expression of the same work.",rdae:P20211,property,rdac:C10006,rdae:P20575,,,Published,24.5,2,
is merged to form expression,rdae:mergedToFormExpression.en,Relates an expression to an expression of a work that is formed from the coming together of two or more expressions.,,,,,merged to form expression,An expression of a work that is formed from the coming together of two or more expressions.,rdae:P20212,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
has additional scale information,rdae:additionalScaleInformation.en,Relates an expression to an indication of supplemental information about scale.,"Additional scale information includes a statement of comparative measurements or limitation of the scale to particular parts of the content of an expression, etc.",,,,additional scale information,An indication of supplemental information about scale.,rdae:P20213,property,rdac:C10006,rdae:P20228,,,Published,7.25.5,6,
has date of expression,rdae:dateOfExpression.en,Relates an expression to a timespan that is the earliest associated with an expression.,"A date of expression may include a date a text was written, a date of final editing of a moving image work, a date of first broadcast for a television or radio program, a date of notation for a score, the date of the recording of an event, etc.",,,,date of expression,A timespan that is the earliest associated with an expression.,rdae:P20214,property,rdac:C10006,rdae:P20307,,,Published,6.1,3,
has medium of performance of musical content,rdae:mediumOfPerformanceOfMusicalContent.en,"Relates an expression to an instrument, voice, or ensemble and the number of parts, performers and hands used, or intended to be used, to perform the musical content of an expression.",,medium of performance,,,medium of performance of musical content,"An instrument, voice, or ensemble and the number of parts, performers and hands used, or intended to be used, to perform the musical content of an expression.",rdae:P20215,property,rdac:C10006,,,,Published,7.21,5,
has projection of cartographic content,rdae:projectionOfCartographicContent.en,Relates an expression to a method or system used to represent the surface of the earth or of a celestial sphere on a plane in an expression.,,,,,projection of cartographic content,A method or system used to represent the surface of the earth or of a celestial sphere on a plane in an expression.,rdae:P20216,property,rdac:C10006,,,,Published,7.26,5,
has capture information,rdae:captureInformation.en,"Relates an expression to a place, date, or other information that is associated with the recording, filming, or other method of obtaining the content of an expression.",,,,,capture information,"A place, date, or other information that is associated with the recording, filming, or other method of obtaining the content of an expression.",rdae:P20217,property,rdac:C10006,,,,Published,7.11,6,
has place of capture,rdae:placeOfCapture.en,"Relates an expression to a place that is associated with recording, filming, etc., the content of an expression.",,,,,place of capture,"A place that is associated with recording, filming, etc., the content of an expression.",rdae:P20218,property,rdac:C10006,rdae:P20306,rdae:P20217,,Published,7.11.2,3,
